PTS,AST,TRB,STL,BLK,TOV,PF,Outcome,,,,,,,,,,
24,3,4,1,3,2,3,1,,,,,,,,,,
30,8,4,0,0,4,1,0,,,,,,,,,,
29,8,5,2,2,4,1,1,,,,,,,,,,
17,7,10,1,0,7,3,0,,,,,,,,,,
33,5,7,1,0,5,3,0,,,,,,,,,,
36,5,4,2,0,1,2,1,,,,,,,,,,
32,7,11,3,0,9,4,1,,,,,,,,,,
26,4,5,0,0,6,4,1,,,,,,,,,,
26,9,7,4,0,7,0,1,,,,,,,,,,
25,9,6,4,1,2,1,1,,,,,,,,,,
34,5,7,1,2,2,1,1,,,,,,,,,,
32,7,6,1,0,4,3,1,,,,,,,,,,
19,7,3,4,2,6,1,1,,,,,,,,,,
36,5,6,0,1,2,1,1,,,,,,,,,,
18,11,3,2,0,6,2,1,,,,,,,,,,
23,9,3,1,0,2,0,1,,,,,,,,,,
25,5,6,2,1,7,3,0,,,,,,,,,,
22,8,10,1,0,6,2,1,,,,,,,,,,
18,7,9,1,0,5,2,1,,,,,,,,,,
31,4,5,0,0,8,3,0,,,,,,,,,,
28,6,5,1,0,2,3,1,,,,,,,,,,
18,7,7,2,0,4,2,1,,,,,,,,,,
19,11,7,3,1,9,3,1,,,,,,,,,,
42,5,11,3,1,6,5,1,,,,,,,,,,
37,4,8,3,3,4,4,0,,,,,,,,,,
27,5,3,3,1,1,0,1,,,,,,,,,,
29,14,6,0,0,3,2,1,,,,,,,,,,
18,8,6,2,1,9,3,0,,,,,,,,,,
17,8,6,1,0,4,3,1,,,,,,,,,,
27,8,7,1,1,2,3,1,,,,,,,,,,
31,7,5,2,1,3,2,1,,,,,,,,,,
21,13,8,3,1,1,3,1,,,,,,,,,,
26,4,2,0,0,4,2,0,,,,,,,,,,
16,7,3,1,0,2,1,1,,,,,,,,,,
29,5,7,0,0,3,0,1,,,,,,,,,,
28,6,10,5,1,5,1,1,,,,,,,,,,
20,5,8,0,0,1,2,1,,,,,,,,,,
24,9,5,5,1,3,4,0,,,,,,,,,,
20,6,11,0,1,5,0,1,,,,,,,,,,
23,7,8,1,3,3,3,1,,,,,,,,,,
20,12,10,3,1,3,4,1,,,,,,,,,,
21,8,9,1,1,2,2,1,,,,,,,,,,
14,7,3,1,0,3,1,0,,,,,,,,,,
21,11,10,2,1,1,0,1,,,,,,,,,,
17,8,6,1,0,2,0,0,,,,,,,,,,
25,13,4,0,0,4,3,0,,,,,,,,,,
26,6,7,2,1,5,2,1,,,,,,,,,,
25,5,3,1,0,6,2,1,,,,,,,,,,
35,8,8,0,1,1,2,1,,,,,,,,,,
18,6,5,1,0,4,4,0,,,,,,,,,,
25,10,8,0,0,5,1,1,,,,,,,,,,
33,2,3,0,0,3,0,1,,,,,,,,,,
39,4,6,1,0,6,0,1,,,,,,,,,,
30,7,4,1,1,3,1,1,,,,,,,,,,
13,5,6,1,0,3,0,1,,,,,,,,,,
21,7,6,1,1,4,0,1,,,,,,,,,,
22,7,9,3,0,3,0,1,,,,,,,,,,
35,4,5,1,1,4,0,1,,,,,,,,,,
28,8,8,3,0,1,3,1,,,,,,,,,,
27,3,6,1,1,3,2,1,,,,,,,,,,
26,4,5,1,1,3,0,0,,,,,,,,,,
23,6,5,2,1,6,2,0,,,,,,,,,,
21,2,5,3,0,1,2,1,,,,,,,,,,
21,8,14,2,0,7,3,1,,,,,,,,,,
24,9,7,2,0,6,2,0,,,,,,,,,,
17,6,14,2,0,5,3,1,,,,,,,,,,
25,9,9,4,0,2,2,1,,,,,,,,,,
30,9,9,1,0,3,1,1,,,,,,,,,,
24,7,9,3,0,3,3,1,,,,,,,,,,
18,8,6,1,1,1,1,1,,,,,,,,,,
38,6,8,2,0,0,2,1,,,,,,,,,,
19,4,8,0,0,2,2,0,,,,,,,,,,
33,8,8,0,0,2,3,1,,,,,,,,,,
26,10,6,0,1,4,0,0,,,,,,,,,,
26,5,5,0,1,8,0,1,,,,,,,,,,
15,8,8,1,0,3,1,1,,,,,,,,,,
30,5,4,1,0,1,1,1,,,,,,,,,,
32,5,3,2,0,3,1,0,,,,,,,,,,
32,6,5,1,1,6,2,0,,,,,,,,,,
36,5,7,0,0,4,6,0,,,,,,,,,,
25,7,8,2,0,4,1,1,,,,,,,,,,
21,10,8,2,1,3,3,1,,,,,,,,,,
34,6,8,1,0,2,4,0,,,,,,,,,,
30,6,4,1,0,3,1,1,,,,,,,,,,
29,4,8,2,0,3,1,1,,,,,,,,,,
27,6,13,1,0,5,1,1,,,,,,,,,,
18,6,7,1,0,4,4,0,,,,,,,,,,
34,3,3,0,0,3,1,1,,,,,,,,,,
30,7,8,6,0,2,3,1,,,,,,,,,,
24,11,8,2,2,1,1,1,,,,,,,,,,
31,12,8,3,1,7,2,0,,,,,,,,,,
13,5,7,0,0,5,2,1,,,,,,,,,,
37,3,9,5,0,4,2,1,,,,,,,,,,
36,9,13,2,0,2,1,1,,,,,,,,,,
42,6,9,2,0,3,2,1,,,,,,,,,,
33,3,7,4,0,8,1,1,,,,,,,,,,
31,4,4,0,0,1,0,1,,,,,,,,,,
20,7,9,4,0,2,1,1,,,,,,,,,,
61,4,7,0,0,2,2,0,,,,,,,,,,
22,6,1,3,0,1,1,0,,,,,,,,,,
19,7,8,2,0,5,5,0,,,,,,,,,,
17,8,9,3,1,4,1,1,,,,,,,,,,
23,8,7,3,0,3,3,0,,,,,,,,,,
19,7,5,3,0,5,1,0,,,,,,,,,,
21,6,6,1,0,4,3,1,,,,,,,,,,
24,6,5,2,0,5,3,1,,,,,,,,,,
43,4,6,2,3,0,1,0,,,,,,,,,,
15,7,6,2,1,3,0,0,,,,,,,,,,
25,9,8,0,1,3,1,1,,,,,,,,,,
32,5,6,4,0,5,2,0,,,,,,,,,,
38,5,8,0,0,6,3,1,,,,,,,,,,
17,12,10,1,0,1,0,1,,,,,,,,,,
13,2,7,0,0,4,1,1,,,,,,,,,,
32,8,7,1,0,6,2,1,,,,,,,,,,
17,8,4,1,1,2,0,0,,,,,,,,,,
34,5,8,4,1,4,5,1,,,,,,,,,,
38,6,5,1,0,5,0,0,,,,,,,,,,
29,6,10,2,0,3,0,0,,,,,,,,,,
37,5,6,2,0,5,1,1,,,,,,,,,,
36,1,6,1,1,2,1,0,,,,,,,,,,
27,5,8,0,1,3,2,0,,,,,,,,,,
